Components, Severity 1, Severity 2,Severity 3, Severity 4, Severity 5
Builds,0,0,0,0,0
OST,0,3,0,3,1
Control Plane,2,2,0,0,0
DMA Compatibility,0,0,0,0,0
ODIV,0,0,0,0,0
CIFS,0,0,1,1,0
CLI,0,1,0,0,0
Perc Controller,0,0,0,0,0
OFS,2,1,0,0,1
NDMP,0,0,0,0,0
Networking,0,0,0,1,0
Supportability,0,0,0,0,0
Factory,0,0,0,0,0
GUI,0,2,2,0,3
NACKFS,0,0,0,0,0
SNMP,0,0,0,0,0
Hardware,0,0,0,0,0
OFSCK,0,0,1,2,0
Documentation,0,0,0,0,0
NFS,0,0,0,1,0
Disaster Recovery,0,0,0,0,0
EGRESS,0,0,0,0,0
Marvell,0,0,0,0,0
Unspecified,0,0,0,0,0
Replication,0,2,0,2,0
CHOAM,0,1,0,1,1
O3E,0,1,0,0,0
ASMF,0,1,0,0,0
